CMDLINE python benchs/bench_polysemous_sift1m.py
MEM 100.386719 1694449207.5582
MEM 100.386719 1694449207.6591
MEM 100.386719 1694449207.7596
MEM 100.386719 1694449207.8602
MEM 100.386719 1694449207.9610
MEM 100.386719 1694449208.0615
MEM 100.386719 1694449208.1620
MEM 100.386719 1694449208.2625
MEM 100.386719 1694449208.3631
MEM 100.386719 1694449208.4636
MEM 100.386719 1694449208.5641
MEM 100.386719 1694449208.6647
MEM 100.386719 1694449208.7652
MEM 100.386719 1694449208.8658
MEM 100.386719 1694449208.9663
MEM 100.386719 1694449209.0670
MEM 100.386719 1694449209.1675
MEM 100.386719 1694449209.2681
MEM 100.386719 1694449209.3687
MEM 100.386719 1694449209.4692
MEM 100.386719 1694449209.5698
MEM 100.386719 1694449209.6704
MEM 100.386719 1694449209.7711
MEM 100.386719 1694449209.8717
MEM 100.386719 1694449209.9722
MEM 100.386719 1694449210.0728
MEM 100.386719 1694449210.1733
MEM 100.386719 1694449210.2739
MEM 100.386719 1694449210.3745
MEM 100.386719 1694449210.4750
MEM 100.386719 1694449210.5755
MEM 100.386719 1694449210.6760
MEM 100.386719 1694449210.7765
MEM 100.386719 1694449210.8769
MEM 100.386719 1694449210.9775
MEM 100.386719 1694449211.0780
MEM 100.386719 1694449211.1789
MEM 100.386719 1694449211.2794
MEM 100.386719 1694449211.3800
MEM 100.386719 1694449211.4818
MEM 100.386719 1694449211.5823
MEM 100.386719 1694449211.6829
MEM 100.386719 1694449211.7834
MEM 100.386719 1694449211.8840
MEM 100.386719 1694449211.9845
MEM 100.386719 1694449212.0862
MEM 100.386719 1694449212.1871
MEM 100.386719 1694449212.2876
MEM 100.386719 1694449212.3882
MEM 100.386719 1694449212.4888
MEM 100.386719 1694449212.5893
MEM 100.386719 1694449212.6899
MEM 100.386719 1694449212.7904
MEM 100.386719 1694449212.8909
MEM 100.386719 1694449212.9915
MEM 100.386719 1694449213.0920
MEM 100.386719 1694449213.1925
MEM 100.386719 1694449213.2930
MEM 100.386719 1694449213.3936
MEM 100.386719 1694449213.4941
MEM 100.386719 1694449213.5947
MEM 100.386719 1694449213.6953
MEM 100.386719 1694449213.7959
MEM 100.386719 1694449213.8964
MEM 100.386719 1694449213.9969
MEM 100.386719 1694449214.0974
MEM 100.386719 1694449214.1980
MEM 100.386719 1694449214.2985
MEM 100.386719 1694449214.3990
MEM 100.386719 1694449214.4997
MEM 100.386719 1694449214.6003
MEM 100.386719 1694449214.7038
MEM 100.386719 1694449214.8044
MEM 100.386719 1694449214.9049
MEM 100.386719 1694449215.0054
MEM 100.386719 1694449215.1060
MEM 100.386719 1694449215.2067
MEM 100.386719 1694449215.3072
MEM 100.386719 1694449215.4079
MEM 100.386719 1694449215.5084
MEM 100.386719 1694449215.6089
MEM 100.386719 1694449215.7098
MEM 100.386719 1694449215.8105
MEM 100.386719 1694449215.9111
MEM 100.386719 1694449216.0117
MEM 100.386719 1694449216.1122
MEM 100.386719 1694449216.2133
MEM 100.386719 1694449216.3172
MEM 100.386719 1694449216.4178
MEM 100.386719 1694449216.5184
MEM 100.386719 1694449216.6193
MEM 100.386719 1694449216.7198
MEM 100.386719 1694449216.8204
MEM 100.386719 1694449216.9209
MEM 100.386719 1694449217.0214
MEM 100.386719 1694449217.1220
MEM 100.386719 1694449217.2225
MEM 100.386719 1694449217.3232
MEM 100.386719 1694449217.4238
MEM 100.386719 1694449217.5243
MEM 100.386719 1694449217.6249
MEM 100.386719 1694449217.7254
MEM 100.386719 1694449217.8259
MEM 100.386719 1694449217.9268
MEM 100.386719 1694449218.0273
MEM 100.386719 1694449218.1278
MEM 100.386719 1694449218.2283
MEM 100.386719 1694449218.3288
MEM 100.386719 1694449218.4294
MEM 100.386719 1694449218.5299
MEM 100.386719 1694449218.6305
MEM 100.386719 1694449218.7313
MEM 100.386719 1694449218.8319
MEM 100.386719 1694449218.9324
MEM 100.386719 1694449219.0329
MEM 100.386719 1694449219.1334
MEM 100.386719 1694449219.2339
MEM 100.386719 1694449219.3345
MEM 100.386719 1694449219.4352
MEM 100.386719 1694449219.5356
MEM 100.386719 1694449219.6361
MEM 100.386719 1694449219.7366
MEM 100.386719 1694449219.8371
MEM 100.386719 1694449219.9377
MEM 100.386719 1694449220.0382
MEM 100.386719 1694449220.1390
MEM 100.386719 1694449220.2395
MEM 100.386719 1694449220.3401
MEM 100.386719 1694449220.4406
MEM 100.386719 1694449220.5412
MEM 100.386719 1694449220.6420
MEM 100.386719 1694449220.7425
MEM 100.386719 1694449220.8433
MEM 100.386719 1694449220.9439
MEM 100.386719 1694449221.0444
MEM 100.386719 1694449221.1449
MEM 100.386719 1694449221.2455
MEM 100.386719 1694449221.3460
MEM 100.386719 1694449221.4465
MEM 100.386719 1694449221.5470
MEM 100.386719 1694449221.6476
MEM 100.386719 1694449221.7481
MEM 100.386719 1694449221.8487
MEM 100.386719 1694449221.9492
MEM 100.386719 1694449222.0498
MEM 100.386719 1694449222.1503
MEM 100.386719 1694449222.2508
MEM 100.386719 1694449222.3517
MEM 100.386719 1694449222.4526
MEM 100.386719 1694449222.5532
MEM 100.386719 1694449222.6538
MEM 100.386719 1694449222.7543
MEM 100.386719 1694449222.8548
MEM 100.386719 1694449222.9553
MEM 100.386719 1694449223.0559
MEM 100.386719 1694449223.1564
MEM 100.386719 1694449223.2570
MEM 100.386719 1694449223.3579
MEM 100.386719 1694449223.4584
MEM 100.386719 1694449223.5589
MEM 100.386719 1694449223.6595
MEM 100.386719 1694449223.7600
MEM 100.386719 1694449223.8605
MEM 100.386719 1694449223.9609
MEM 100.386719 1694449224.0614
MEM 100.386719 1694449224.1620
MEM 100.386719 1694449224.2626
MEM 100.386719 1694449224.3631
MEM 100.386719 1694449224.4637
MEM 100.386719 1694449224.5642
MEM 100.386719 1694449224.6647
MEM 100.386719 1694449224.7652
MEM 100.386719 1694449224.8658
MEM 100.386719 1694449224.9663
MEM 100.386719 1694449225.0668
MEM 100.386719 1694449225.1673
MEM 100.386719 1694449225.2678
MEM 100.386719 1694449225.3683
MEM 100.386719 1694449225.4719
MEM 100.386719 1694449225.5725
MEM 100.386719 1694449225.6731
MEM 100.386719 1694449225.7740
MEM 100.386719 1694449225.8747
MEM 100.386719 1694449225.9752
MEM 100.386719 1694449226.0758
MEM 100.386719 1694449226.1765
MEM 100.386719 1694449226.2770
MEM 100.386719 1694449226.3775
MEM 100.386719 1694449226.4785
MEM 100.386719 1694449226.5792
MEM 100.386719 1694449226.6804
MEM 100.386719 1694449226.7809
MEM 100.386719 1694449226.8820
MEM 100.386719 1694449226.9825
MEM 100.386719 1694449227.0830
MEM 100.386719 1694449227.1835
MEM 100.386719 1694449227.2841
MEM 100.386719 1694449227.3850
MEM 100.386719 1694449227.4856
MEM 100.386719 1694449227.5862
MEM 100.386719 1694449227.6867
MEM 100.386719 1694449227.7878
MEM 100.386719 1694449227.8883
MEM 100.386719 1694449227.9889
MEM 100.386719 1694449228.0894
MEM 100.386719 1694449228.1900
MEM 100.386719 1694449228.2904
MEM 100.386719 1694449228.3910
MEM 100.386719 1694449228.4915
MEM 100.386719 1694449228.5922
MEM 100.386719 1694449228.6931
MEM 100.386719 1694449228.7937
MEM 100.386719 1694449228.8942
MEM 100.386719 1694449228.9948
MEM 100.386719 1694449229.0952
MEM 100.386719 1694449229.1958
MEM 100.386719 1694449229.2963
MEM 100.386719 1694449229.3971
MEM 100.386719 1694449229.4977
MEM 100.386719 1694449229.5982
MEM 100.386719 1694449229.6987
MEM 100.386719 1694449229.7992
MEM 100.386719 1694449229.8995
MEM 100.386719 1694449230.0000
MEM 100.386719 1694449230.1005
MEM 100.386719 1694449230.2009
MEM 100.386719 1694449230.3014
MEM 100.386719 1694449230.4019
MEM 100.386719 1694449230.5023
MEM 100.386719 1694449230.6029
MEM 100.386719 1694449230.7034
MEM 100.386719 1694449230.8043
MEM 100.386719 1694449230.9058
MEM 100.386719 1694449231.0067
MEM 100.386719 1694449231.1076
MEM 100.386719 1694449231.2087
MEM 100.386719 1694449231.3097
MEM 100.386719 1694449231.4105
MEM 100.386719 1694449231.5111
MEM 100.386719 1694449231.6116
MEM 100.386719 1694449231.7121
MEM 100.386719 1694449231.8125
MEM 100.386719 1694449231.9131
MEM 100.386719 1694449232.0137
MEM 100.386719 1694449232.1141
MEM 100.386719 1694449232.2146
MEM 100.386719 1694449232.3151
MEM 100.386719 1694449232.4155
MEM 100.386719 1694449232.5158
MEM 100.386719 1694449232.6163
MEM 100.386719 1694449232.7171
MEM 100.386719 1694449232.8178
MEM 100.386719 1694449232.9182
MEM 100.386719 1694449233.0187
MEM 100.386719 1694449233.1191
MEM 100.386719 1694449233.2195
MEM 100.386719 1694449233.3199
MEM 100.386719 1694449233.4203
MEM 100.386719 1694449233.5207
MEM 100.386719 1694449233.6211
MEM 100.386719 1694449233.7216
MEM 100.386719 1694449233.8220
MEM 100.386719 1694449233.9224
MEM 100.386719 1694449234.0229
MEM 100.386719 1694449234.1233
MEM 100.386719 1694449234.2240
MEM 100.386719 1694449234.3244
MEM 100.386719 1694449234.4249
MEM 100.386719 1694449234.5252
MEM 102.261719 1694449234.6258
MEM 90.136719 1694449234.7261
