CMDLINE /home/ashucoder/Projects/aveti/faiss/venv/bin/python benchs/bench_polysemous_sift1m.py
MEM 99.964844 1694444840.7592
MEM 99.964844 1694444840.8606
MEM 99.964844 1694444840.9629
MEM 99.964844 1694444841.0639
MEM 99.964844 1694444841.1647
MEM 99.964844 1694444841.2653
MEM 99.964844 1694444841.3658
MEM 99.964844 1694444841.4662
MEM 99.964844 1694444841.5667
MEM 99.964844 1694444841.6673
MEM 99.964844 1694444841.7678
MEM 99.964844 1694444841.8684
MEM 99.964844 1694444841.9689
MEM 99.964844 1694444842.0698
MEM 99.964844 1694444842.1704
MEM 99.964844 1694444842.2709
MEM 99.964844 1694444842.3715
MEM 99.964844 1694444842.4720
MEM 99.964844 1694444842.5726
MEM 99.964844 1694444842.6732
MEM 99.964844 1694444842.7740
MEM 99.964844 1694444842.8746
MEM 99.964844 1694444842.9752
MEM 99.964844 1694444843.0761
MEM 99.964844 1694444843.1767
MEM 99.964844 1694444843.2773
MEM 99.964844 1694444843.3778
MEM 99.964844 1694444843.4784
MEM 99.964844 1694444843.5790
MEM 99.964844 1694444843.6798
MEM 99.964844 1694444843.7803
MEM 99.964844 1694444843.8809
MEM 99.964844 1694444843.9814
MEM 99.964844 1694444844.0819
MEM 99.964844 1694444844.1825
MEM 99.964844 1694444844.2830
MEM 99.964844 1694444844.3835
MEM 99.964844 1694444844.4842
MEM 99.964844 1694444844.5847
MEM 99.964844 1694444844.6852
MEM 99.964844 1694444844.7857
MEM 99.964844 1694444844.8862
MEM 99.964844 1694444844.9868
MEM 99.964844 1694444845.0881
MEM 99.964844 1694444845.1887
MEM 99.964844 1694444845.2893
MEM 99.964844 1694444845.3898
MEM 99.964844 1694444845.4904
MEM 99.964844 1694444845.5909
MEM 99.964844 1694444845.6913
MEM 99.964844 1694444845.7918
MEM 99.964844 1694444845.8923
MEM 99.964844 1694444845.9928
MEM 99.964844 1694444846.0933
MEM 99.964844 1694444846.1938
MEM 99.964844 1694444846.2942
MEM 99.964844 1694444846.3947
MEM 99.964844 1694444846.4952
MEM 99.964844 1694444846.5957
MEM 99.964844 1694444846.6962
MEM 99.964844 1694444846.7971
MEM 99.964844 1694444846.8975
MEM 99.964844 1694444846.9980
MEM 99.964844 1694444847.0984
MEM 99.964844 1694444847.1989
MEM 99.964844 1694444847.2993
MEM 99.964844 1694444847.3998
MEM 99.964844 1694444847.5003
MEM 99.964844 1694444847.6007
MEM 99.964844 1694444847.7011
MEM 99.964844 1694444847.8018
MEM 99.964844 1694444847.9022
MEM 99.964844 1694444848.0028
MEM 99.964844 1694444848.1034
MEM 99.964844 1694444848.2039
MEM 99.964844 1694444848.3044
MEM 99.964844 1694444848.4051
MEM 99.964844 1694444848.5060
MEM 99.964844 1694444848.6067
MEM 99.964844 1694444848.7075
MEM 99.964844 1694444848.8080
MEM 99.964844 1694444848.9085
MEM 99.964844 1694444849.0090
MEM 99.964844 1694444849.1095
MEM 99.964844 1694444849.2099
MEM 99.964844 1694444849.3104
MEM 99.964844 1694444849.4109
MEM 99.964844 1694444849.5113
MEM 99.964844 1694444849.6119
MEM 99.964844 1694444849.7123
MEM 99.964844 1694444849.8128
MEM 99.964844 1694444849.9133
MEM 99.964844 1694444850.0138
MEM 99.964844 1694444850.1142
MEM 99.964844 1694444850.2147
MEM 99.964844 1694444850.3152
MEM 99.964844 1694444850.4161
MEM 99.964844 1694444850.5165
MEM 99.964844 1694444850.6171
MEM 99.964844 1694444850.7178
MEM 99.964844 1694444850.8183
MEM 99.964844 1694444850.9188
MEM 99.964844 1694444851.0192
MEM 99.964844 1694444851.1197
MEM 99.964844 1694444851.2202
MEM 99.964844 1694444851.3208
MEM 99.964844 1694444851.4215
MEM 99.964844 1694444851.5220
MEM 99.964844 1694444851.6224
MEM 99.964844 1694444851.7229
MEM 99.964844 1694444851.8234
MEM 99.964844 1694444851.9239
MEM 99.964844 1694444852.0243
MEM 99.964844 1694444852.1252
MEM 99.964844 1694444852.2257
MEM 99.964844 1694444852.3262
MEM 99.964844 1694444852.4266
MEM 99.964844 1694444852.5271
MEM 99.964844 1694444852.6276
MEM 99.964844 1694444852.7280
MEM 99.964844 1694444852.8285
MEM 99.964844 1694444852.9289
MEM 99.964844 1694444853.0294
MEM 99.964844 1694444853.1299
MEM 99.964844 1694444853.2303
MEM 99.964844 1694444853.3309
MEM 99.964844 1694444853.4317
MEM 99.964844 1694444853.5323
MEM 99.964844 1694444853.6329
MEM 99.964844 1694444853.7334
MEM 99.964844 1694444853.8340
MEM 99.964844 1694444853.9347
MEM 99.964844 1694444854.0351
MEM 99.964844 1694444854.1356
MEM 99.964844 1694444854.2361
MEM 99.964844 1694444854.3367
MEM 99.964844 1694444854.4371
MEM 99.964844 1694444854.5376
MEM 99.964844 1694444854.6381
MEM 99.964844 1694444854.7389
MEM 99.964844 1694444854.8394
MEM 99.964844 1694444854.9399
MEM 99.964844 1694444855.0404
MEM 99.964844 1694444855.1408
MEM 99.964844 1694444855.2412
MEM 99.964844 1694444855.3417
MEM 99.964844 1694444855.4422
MEM 99.964844 1694444855.5427
MEM 99.964844 1694444855.6431
MEM 99.964844 1694444855.7437
MEM 99.964844 1694444855.8442
MEM 99.964844 1694444855.9447
MEM 99.964844 1694444856.0452
MEM 99.964844 1694444856.1457
MEM 99.964844 1694444856.2461
MEM 99.964844 1694444856.3466
MEM 99.964844 1694444856.4476
MEM 99.964844 1694444856.5481
MEM 99.964844 1694444856.6486
MEM 99.964844 1694444856.7490
MEM 99.964844 1694444856.8495
MEM 99.964844 1694444856.9500
MEM 99.964844 1694444857.0504
MEM 99.964844 1694444857.1509
MEM 99.964844 1694444857.2514
MEM 99.964844 1694444857.3518
MEM 99.964844 1694444857.4523
MEM 99.964844 1694444857.5528
MEM 99.964844 1694444857.6533
MEM 99.964844 1694444857.7537
MEM 99.964844 1694444857.8542
MEM 99.964844 1694444857.9547
MEM 99.964844 1694444858.0552
MEM 99.964844 1694444858.1558
MEM 99.964844 1694444858.2563
MEM 99.964844 1694444858.3568
MEM 99.964844 1694444858.4572
MEM 99.964844 1694444858.5578
MEM 99.964844 1694444858.6583
MEM 99.964844 1694444858.7589
MEM 99.964844 1694444858.8594
MEM 99.964844 1694444858.9599
MEM 99.964844 1694444859.0603
MEM 99.964844 1694444859.1609
MEM 99.964844 1694444859.2614
MEM 99.964844 1694444859.3619
MEM 99.964844 1694444859.4624
MEM 99.964844 1694444859.5629
MEM 99.964844 1694444859.6634
MEM 99.964844 1694444859.7639
MEM 99.964844 1694444859.8643
MEM 99.964844 1694444859.9648
MEM 99.964844 1694444860.0653
MEM 99.964844 1694444860.1658
MEM 99.964844 1694444860.2663
MEM 99.964844 1694444860.3668
MEM 99.964844 1694444860.4673
MEM 99.964844 1694444860.5678
MEM 99.964844 1694444860.6681
MEM 99.964844 1694444860.7685
MEM 99.964844 1694444860.8689
MEM 99.964844 1694444860.9692
MEM 101.964844 1694444861.0698
MEM 89.835938 1694444861.1702
